id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1406254077902692353,1406218196542103555,2021-06-20 00:14:33 AEST,2021-06-20,00:14:33,+1000,4800471566,splymptonele,Sceptic Plymptonele,,@DoctorKarl @normanswan If one looks for anti vax you will find it. All sorts of anecdotal unsubstantiated “facts”. If you listen to the ABC you’ll get a better perspective on the value of the vax.,en,[],[],[],0,0,0,[],[],https://twitter.com/SPlymptonele/status/1406254077902692353,False,,0,,,,,,,,"[{'screen_name': 'DoctorKarl', 'name': 'Dr Karl', 'id': '21147300'}, {'screen_name': 'normanswan', 'name': 'Norman Swan', 'id': '246178914'}]",,,,
1406144858343960578,1406139063426449408,2021-06-19 17:00:33 AEST,2021-06-19,17:00:33,+1000,970914115718864896,fintwitasx,Alex,,"@marty386 Martin don’t confuse anti vaxxer’s with critical thinking. Yes there are nut jobs but majority of us cautious about the rona vax, have every right. It’s only provisional because they banned alternative medicines. Hasn’t been thru proper trials or registration. Risk outweighs IMO",en,[],[],[],1,0,8,[],[],https://twitter.com/fintwitasx/status/1406144858343960578,False,,0,,,,,,,,"[{'screen_name': 'marty386', 'name': 'Martin', 'id': '71232810'}]",,,,
1391874929709109249,1391534883789365248,2021-05-11 07:56:57 AEST,2021-05-11,07:56:57,+1000,1257514857403842560,christopherrb19,Caveman. Snow cave Southern Alps 1998.,,@aussieavidread @mtcbr123 @JoeABCNews @GladysB @abcnews I did say don't get too excited. Sit down and have a cuppa. You're not mother Teresa. You're actually sounding like a hater and putting your own words in your own mouth. Who said anti Vax? Who said close borders? You! That's a tool response and a rushed response for a failed chat,en,[],[],[],0,0,0,[],[],https://twitter.com/ChristopherRB19/status/1391874929709109249,False,,0,,,,,,,,"[{'screen_name': 'aussieavidread', 'name': 'Avidreader', 'id': '813851972243636224'}, {'screen_name': 'mtcbr123', 'name': 'Mel', 'id': '784316908879261696'}, {'screen_name': 'JoeABCNews', 'name': ""Joe O'Brien"", 'id': '337382401'}, {'screen_name': 'GladysB', 'name': 'Gladys Berejiklian', 'id': '704882735815401472'}, {'screen_name': 'abcnews', 'name': 'ABC News', 'id': '2768501'}]",,,,
1371645128155090945,1371580168498647046,2021-03-16 13:10:57 AEDT,2021-03-16,13:10:57,+1000,43069580,adamdjtbrand,code MadAdam81#ad,,@mattjcan Anti-vaxxer says stop the vax.,en,[],[],[],0,0,0,[],[],https://twitter.com/AdamDJTbrand/status/1371645128155090945,False,,0,,,,,,,,"[{'screen_name': 'mattjcan', 'name': 'Matthew Canavan', 'id': '632817143'}]",,,,
