id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1406437207859097603,1406437207859097603,2021-06-20 12:22:15 AEST,2021-06-20,12:22:15,+1000,96276462,mahootna2,Real #NotTheDevil Robin :(,,@TGAgovau Time to drop the hammer on Clive Palmers anti vax rot.  https://t.co/16J8dKfw70,en,"[{'screen_name': 'tgagovau', 'name': 'tga australia', 'id': '3800463014'}]",[],['https://pbs.twimg.com/media/E4SrKUgVkAMt3oT.jpg'],0,0,0,[],[],https://twitter.com/mahootna2/status/1406437207859097603,False,,1,https://pbs.twimg.com/media/E4SrKUgVkAMt3oT.jpg,,,,,,,[],,,,
1405856048695562245,1405856048695562245,2021-06-18 21:52:56 AEST,2021-06-18,21:52:56,+1000,1335413170572128259,daisy_tripsy,Tripsy Daisy,,#VictoriaPolice  Give this cop a pay rise and medal!  How fusterating that police have to deal with moronic mindsets like this. Shame we can’t send them to an anti vax alternative planet.,en,[],[],[],0,0,1,['victoriapolice'],[],https://twitter.com/daisy_tripsy/status/1405856048695562245,False,https://twitter.com/sexenheimer/status/1405752946642415630,0,,,,,,,,[],,,,
1404374197472612357,1404374197472612357,2021-06-14 19:44:35 AEST,2021-06-14,19:44:35,+1000,260164102,planetwusailing,Axeman,,"The 2gb, 5G Anti vax Paul Murray live fan teens.",en,[],[],[],1,0,0,[],[],https://twitter.com/PlaneTWUsailing/status/1404374197472612357,False,https://twitter.com/timgg1971/status/1404362170821865476,0,,,,,,,,[],,,,
1404367712046911496,1404367712046911496,2021-06-14 19:18:49 AEST,2021-06-14,19:18:49,+1000,260164102,planetwusailing,Axeman,,"Anti Vax, microchip, world is flat QANON Lib supporter? 😂",en,[],[],[],1,0,0,[],[],https://twitter.com/PlaneTWUsailing/status/1404367712046911496,False,https://twitter.com/timgg1971/status/1404362170821865476,0,,,,,,,,[],,,,
1402058747946536963,1402056476844167175,2021-06-08 10:23:49 AEST,2021-06-08,10:23:49,+1000,2989173842,buleysue,Sue Bules,,"@PRGuy17 There's a cohort of anti lockdown/vax living in his electorate. I don't understand why he is aligning himself with them, if it's for votes, it's a lot of trouble for nothing. He'll be re-elected as it's been a Lib seat forever but he may be tarnished forever.",en,[],[],[],0,0,0,[],[],https://twitter.com/buleysue/status/1402058747946536963,False,,0,,,,,,,,"[{'screen_name': 'PRGuy17', 'name': 'PRGuy', 'id': '1238370241169616897'}]",,,,
1363016578392985601,1362957382251212800,2021-02-20 17:44:10 AEDT,2021-02-20,17:44:10,+1000,587118793,johnculvenor,"JFC, John F Culvenor, She'll be right mate",,@DrMarkImisides Neither pro vax nor anti vax make sense.  Every individual vax on its merits.,en,[],[],[],1,0,3,[],[],https://twitter.com/johnculvenor/status/1363016578392985601,False,,0,,,,,,,,"[{'screen_name': 'DrMarkImisides', 'name': 'Mark Imisides', 'id': '732924976831959041'}]",,,,
1345913001388326912,1345913001388326912,2021-01-04 13:00:40 AEDT,2021-01-04,13:00:40,+1000,1029628208,se77evans,Simon Evans,,"😂😂😂😂😂 This is hysterical! I thought it was a joke at first but nope, she's a full on anti mask, anti lock down, anti vax, pro death paranoid but job.  https://t.co/ybIgtp1q5l",en,[],[],['https://pbs.twimg.com/media/Eq2kvcJVkAAaI-u.jpg'],3,0,4,[],[],https://twitter.com/Se77Evans/status/1345913001388326912,False,,1,https://pbs.twimg.com/media/Eq2kvcJVkAAaI-u.jpg,,,,,,,[],,,,
