id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1401073776989638659,1401073776989638659,2021-06-05 17:09:53 AEST,2021-06-05,17:09:53,+1000,822599416762744832,mrgarymatthews,Gary Matthews,,Very disappointing to hear anti vax radio ads today authorised by Clive Palmer @ComRadioAU this is incredibly irresponsible considering the current political climate,en,"[{'screen_name': 'comradioau', 'name': 'commercial radio aus', 'id': '818593802'}]",[],[],0,0,0,[],[],https://twitter.com/mrgarymatthews/status/1401073776989638659,False,https://twitter.com/Pennycopter/status/1401038214593318916,0,,,,,,,,[],,,,
1352180737034764289,1352180737034764289,2021-01-21 20:06:24 AEDT,2021-01-21,20:06:24,+1000,16142361,m0nkeyfinger,কালিয়ান্দ্রা,,Curiosa pra saber se os anti vax tb acham que o bill gates quer botar micro chip nos cachorros e gatos ou qual a teoria por trás de vacinar animais,pt,[],[],[],0,0,0,[],[],https://twitter.com/m0nkeyfinger/status/1352180737034764289,False,,0,,,,,,,,[],,,,
1346031772484521985,1346031772484521985,2021-01-04 20:52:37 AEDT,2021-01-04,20:52:37,+1000,250834657,dong_oconnor,Dom O’Connor,,Spenny from Onefour posting anti vax shit on instagram 🤢,en,[],[],[],1,0,3,[],[],https://twitter.com/Dong_OConnor/status/1346031772484521985,False,,0,,,,,,,,[],,,,
