id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1406077047722582019,1405971353992318985,2021-06-19 12:31:06 AEST,2021-06-19,12:31:06,+1000,319526375,yrgodsnt4me,Josh Askew,,@oledefense1033 I think people should be given a choice . In Australia were not gonna get an option if we wanna travel . Im not anti vax at all but im suss on this one,en,[],[],[],1,0,1,[],[],https://twitter.com/Yrgodsnt4me/status/1406077047722582019,False,,0,,,,,,,,"[{'screen_name': 'oledefense1033', 'name': 'theo long', 'id': '169760946'}]",,,,
1405812360305012737,1405728080325275650,2021-06-18 18:59:20 AEST,2021-06-18,18:59:20,+1000,1657418479,scorpiogcoast,Vicki Watson,,@sportingphotos @Linda51636705 @an_untamed It’s not an anti vax thread. It’s an anti AZ vax thread.,en,[],[],[],1,0,1,[],[],https://twitter.com/ScorpioGCoast/status/1405812360305012737,False,,0,,,,,,,,"[{'screen_name': 'sportingphotos', 'name': 'Sporting Photos', 'id': '194789307'}, {'screen_name': 'Linda51636705', 'name': 'Tank Girl', 'id': '1346663452958289920'}, {'screen_name': 'an_untamed', 'name': 'antifa Leftie Spiky Untamed Sewer 🐀😷🕯️', 'id': '1115423323163217921'}]",,,,
1405491409612730376,1405472791483359233,2021-06-17 21:43:59 AEST,2021-06-17,21:43:59,+1000,3299232174,reneerogowski,Renee Rogowski,,"@QandA #Aus is a success b'cause we eliminated covid. Our vax hurry is 4travel, not health. UK, USA, Swed etc mismanaged it &amp; we all have to pay. They had vax urgency b'cause their anti-lockdown strat failed. Imagine if they'd used our approach...could be gone by now &amp; many lives saved!",en,[],[],[],0,0,0,['aus'],[],https://twitter.com/ReneeRogowski/status/1405491409612730376,False,,0,,,,,,,,"[{'screen_name': 'QandA', 'name': 'QandA', 'id': '16213404'}]",,,,
1404215856788250626,1404215856788250626,2021-06-14 09:15:23 AEST,2021-06-14,09:15:23,+1000,98130060,danex873,Dane,,"I love when I see an anti vax conspiracy theory shithead repost an article without reading it, and then seeing it gone within minutes because it doesn’t actually fit their narrative 😂",en,[],[],[],0,0,5,[],[],https://twitter.com/DANEX873/status/1404215856788250626,False,,0,,,,,,,,[],,,,
1376810943615668229,1376810943615668229,2021-03-30 19:18:03 AEDT,2021-03-30,19:18:03,+1000,927869714528735232,sweatandiron,Andrew Mackey,,If the UK variant is out in Byron and northern NSW shit will get interesting.  Anti Vax capital of the nation.,en,[],[],[],2,0,5,[],[],https://twitter.com/sweatandiron/status/1376810943615668229,False,,0,,,,,,,,[],,,,
